Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2,Mon,11/28/22,16:00 (08:00),Korea Republic kr,,,,gh Ghana,,Education City Stadium (Neutral Site),,Head-to-Head,
2,Mon,11/28/22,19:00 (11:00),Brazil br,,,,ch Switzerland,,Stadium 974 (Neutral Site),,Head-to-Head,
2,Mon,11/28/22,22:00 (14:00),Portugal pt,,,,uy Uruguay,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
,,,,,,,,,,,,,
3,Tue,11/29/22,18:00 (10:00),Netherlands nl,,,,qa Qatar,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
3,Tue,11/29/22,18:00 (10:00),Ecuador ec,,,,sn Senegal,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
3,Tue,11/29/22,22:00 (14:00),Wales wls,,,,eng England,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
3,Tue,11/29/22,22:00 (14:00),IR Iran ir,,,,us United States,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
3,Wed,11/30/22,18:00 (10:00),Tunisia tn,,,,fr France,,Education City Stadium (Neutral Site),,Head-to-Head,
3,Wed,11/30/22,18:00 (10:00),Australia au,,,,dk Denmark,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
3,Wed,11/30/22,22:00 (14:00),Saudi Arabia sa,,,,mx Mexico,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
3,Wed,11/30/22,22:00 (14:00),Poland pl,,,,ar Argentina,,Stadium 974 (Neutral Site),,Head-to-Head,
3,Thu,12/1/22,18:00 (10:00),Canada ca,,,,ma Morocco,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
3,Thu,12/1/22,18:00 (10:00),Croatia hr,,,,be Belgium,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
3,Thu,12/1/22,22:00 (14:00),Japan jp,,,,es Spain,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
3,Thu,12/1/22,22:00 (14:00),Costa Rica cr,,,,de Germany,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
3,Fri,12/2/22,18:00 (10:00),Korea Republic kr,,,,pt Portugal,,Education City Stadium (Neutral Site),,Head-to-Head,
3,Fri,12/2/22,18:00 (10:00),Ghana gh,,,,uy Uruguay,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
3,Fri,12/2/22,22:00 (14:00),Serbia rs,,,,ch Switzerland,,Stadium 974 (Neutral Site),,Head-to-Head,
3,Fri,12/2/22,22:00 (14:00),Cameroon cm,,,,br Brazil,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
